Chris,Hemsworth,ChrisHemsworth@gmail.com,39,123456789,Thor
Mark,Ruffalo,MarkRuffalo@gmail.com,55,963258741,Hulk
Chris,Evans,ChrisEvans@gmail.com,57,163259997,Captain America
Robert,Downey,RobertDowneyJr@gmail.com,57,142536987,Iron Man
Scarlett,Johansson,ScarlettJohansson@gmail.com,38,48576312,Black Widow
Paul,Rudd,PaulRudd@gmail.com,54,16324987,Ant-Man
Chadwick,Boseman,ChadwickBoseman@gmail.com,43,1365241,Black Panther
Tom,Holland,TomHolland@gmail.com,26,9258741366,Spider-Man
Elizabeth,Olsen,ElizabethOlsen@gmail.com,33,16345977,Scarlet Witch
Zoe,Saldana,ZoeSaldana@gmail.com,44,1234506789,Gamora
